_id,link,license,language,licenseConflicts
6467d04913df3d68492c5a8c,https://github.com/google/neper,Apache License 2.0,C,4
6467d3fd13df3d68492c5aac,https://github.com/google/web-bsd-hunt,Apache License 2.0,Go,31
6467d1d913df3d68492c5a9e,https://github.com/google/turbine,Apache License 2.0,Java,35
6467d5c213df3d68492c5acb,https://github.com/microsoft/Windows-appsample-customers-orders-database,MIT License,TSQL,4
6467d5b613df3d68492c5ac9,https://github.com/google/glazier,Apache License 2.0,Python,2
6467d75413df3d68492c5ad9,https://github.com/microsoft/BotBuilder-Location,MIT License,C#,3
6467d66e13df3d68492c5ad5,https://github.com/google/cdep,Apache License 2.0,Java,22
6467d4a713df3d68492c5ab5,https://github.com/microsoft/bamboo-demo,MIT License,C#,26
6467d4b513df3d68492c5ab7,https://github.com/microsoft/Visual-Audience-Polling,MIT License,Java,16
6467d4be13df3d68492c5abb,https://github.com/microsoft/Static-Module-Verifier,MIT License,C#,1
6467d59a13df3d68492c5ac5,https://github.com/microsoft/busiotools,MIT License,C#,7
6467d5a013df3d68492c5ac7,https://github.com/google/mobly-bundled-snippets,Apache License 2.0,Java,16
6467d5f313df3d68492c5acf,https://github.com/google/mug,Apache License 2.0,Java,6
6467d80d13df3d68492c5adf,https://github.com/google/jsinterop-generator,Apache License 2.0,Java,26
6467e31113df3d68492c5b01,https://github.com/microsoft/VFSForGit,MIT License,C#,125
6467d8fe13df3d68492c5af3,https://github.com/google/clspv,Apache License 2.0,LLVM,2
6467e40a13df3d68492c5b09,https://github.com/microsoft/vsixbootstrapper,MIT License,C++,1
6467e05713df3d68492c5afd,https://github.com/microsoft/vswhere,MIT License,C++,333
6467e41d13df3d68492c5b0b,https://github.com/google/tangent,Apache License 2.0,Python,9
6467d8af13df3d68492c5ae5,https://github.com/google/ci_edit,Apache License 2.0,Python,37
6467d87713df3d68492c5ae3,https://github.com/microsoft/xbox-live-trace-analyzer,MIT License,C#,5
6467ddb913df3d68492c5af5,https://github.com/microsoft/HoloJS,MIT License,JavaScript,633
6467d8d913df3d68492c5aed,https://github.com/microsoft/windows-developer-blog-samples,MIT License,,26
6467dfa313df3d68492c5afb,https://github.com/google/devtools-driver,Apache License 2.0,Java,108
6467d80113df3d68492c5add,https://github.com/google/myelin-acorn-electron-hardware,Apache License 2.0,Python,121
6467ebb013df3d68492c5b13,https://github.com/microsoft/pxt-common-packages,MIT License,TypeScript,1
6467eb7513df3d68492c5b0f,https://github.com/microsoft/WingtipSaaS,MIT License,PowerShell,2258
6467edda13df3d68492c5b25,https://github.com/google/riegeli,Apache License 2.0,C++,2
6467ee8413df3d68492c5b2f,https://github.com/google/diff-match-patch,Apache License 2.0,Python,88
6467ede313df3d68492c5b27,https://github.com/microsoft/XamlBehaviorsWpf,MIT License,C#,61
6467ee4913df3d68492c5b2d,https://github.com/google/multichannel-audio-tools,Apache License 2.0,C++,17
6467ed3613df3d68492c5b1d,https://github.com/google/pasta,Apache License 2.0,Python,4
6467ed3f13df3d68492c5b21,https://github.com/google/android-cuttlefish,Apache License 2.0,Go,12
6467ec8213df3d68492c5b15,https://github.com/microsoft/Windows-appsample-get-started-js3d,MIT License,JavaScript,209
6467ee3713df3d68492c5b2b,https://github.com/microsoft/EasyRepro,MIT License,C#,2
6467ed2713df3d68492c5b1b,https://github.com/google/deepvariant,"BSD 3-Clause ""New"" or ""Revised"" License",Python,47
6467ee2a13df3d68492c5b29,https://github.com/google/fhir,Apache License 2.0,C++,38
6467f32613df3d68492c5b43,https://github.com/microsoft/sql-ml-tutorials,MIT License,JavaScript,4
6467f27a13df3d68492c5b35,https://github.com/microsoft/Recognizers-Text,MIT License,C#,1519
6467ef0613df3d68492c5b33,https://github.com/microsoft/PQCrypto-SIDH,MIT License,C,2
6467f30c13df3d68492c5b3d,https://github.com/google/flutter.plugins,"BSD 3-Clause ""New"" or ""Revised"" License",Dart,1
6467f29613df3d68492c5b39,https://github.com/microsoft/vs-mef,MIT License,C#,7
6467f31a13df3d68492c5b41,https://github.com/microsoft/BotBuilder-RealTimeMediaCalling,MIT License,C#,1
6467f3ff13df3d68492c5b4b,https://github.com/microsoft/Dhalion,MIT License,Java,16
6467f64a13df3d68492c5b5b,https://github.com/microsoft/O-CNN,MIT License,C++,183
6467f38a13df3d68492c5b45,https://github.com/microsoft/CRA,MIT License,C#,188
6467f3f813df3d68492c5b49,https://github.com/microsoft/BuildCast,MIT License,C#,2
6467f47613df3d68492c5b4f,https://github.com/microsoft/MRDL_Unity_LunarModule,MIT License,C#,290
6467f47e13df3d68492c5b51,https://github.com/google/synthmark,Apache License 2.0,C++,6
6467eeea13df3d68492c5b31,https://github.com/microsoft/ctsTraffic,Apache License 2.0,C++,148
6467f30813df3d68492c5b3b,https://github.com/google/starthinker,Apache License 2.0,Python,30
6467f60513df3d68492c5b59,https://github.com/microsoft/libHttpClient,MIT License,C++,27
6467f6e513df3d68492c5b5d,https://github.com/microsoft/knack,MIT License,Python,387
6467f41113df3d68492c5b4d,https://github.com/google/oodle-demo,Apache License 2.0,HTML,5
6467f52913df3d68492c5b53,https://github.com/microsoft/SynapseML,MIT License,Scala,491
6467f58e13df3d68492c5b55,https://github.com/google/asylo-site,Apache License 2.0,HTML,146
6467f96913df3d68492c5b79,https://github.com/microsoft/AppModelSamples,MIT License,,43
6467f70513df3d68492c5b61,https://github.com/microsoft/bobsql,MIT License,Jupyter Notebook,1
6468095413df3d68492c5be7,https://github.com/google/scaaml,Apache License 2.0,Python,342
6467fb0813df3d68492c5b95,https://github.com/google/supl-client,Apache License 2.0,Java,12
6468070113df3d68492c5bd5,https://github.com/google/live-transcribe-speech-engine,Apache License 2.0,Java,46
6468087f13df3d68492c5bdd,https://github.com/google/tcli,Apache License 2.0,Python,7
646808ca13df3d68492c5be1,https://github.com/microsoft/botbuilder-java,MIT License,Java,78
